Prozess,Anforderungs-nummer,Bereits implementiert,Umsetzungskonzept,Abstimmung 14.04.2026,Anforderungstext,Funktionalität von Asneinl4Win,Besprechungsnotizen,Entscheidung,Schätzung in PT min ,Schätzung in PT max,Schätzung in PT min ,Schätzung in PT max,bereits gemacht ,Confidence Schulnote,,
G-AU-SM,A-AU-SM-11,,X,X,"A-AU-SM-11: Wurde vom BAMF die Annahme eines Folgeantrags durch eine:n Bewohner:in bestätigt, muss das Asylverwaltungsprogramm die Möglichkeit bieten, den entsprechenden Bewohner:innen-Eintrag als Folgeantragsteller:in unter Angabe des Datums der Folgeantragstellung zu markieren. Bewohner:innen-Übersichten müssen nach Folgeantragstellenden gefiltert werden können (vgl. A-SYS-BÜ-05).",teilweise,Es gebt Checkboxen für Folgeantragsteller. Rest im Bemerkungsfeld. Es muss nachvollziehbar sein wann Erstantag und wann Folgeantrag gestellt worden ist. ,An Bewohnerdatensatz Checkbox mit Datum: Folgeantragsteller. Filter: Folgeantrag kann gewährleistet werden wenn es Teil einer Tabelle für ein Modul ist. ,2,3,1,2,,2,,
G-AU-SM,A-AU-SM-12,,X,X,"A-AU-SM-12: Ist eine Bewohner:in als Folgeantragstellende:r markiert, soll dies in Bewohner:innen-Übersicht (A-SYS-BÜ-01) im Status des/des Bewohner:in erkennbar sein.",x,,,2,3,2,3,,3,,
G-AU-SM,A-AU-SM-18,Teilweise,X,X,"A-AU-SM-18: Es muss im Asylverwaltungsprogramm für jede:n Bewohner:in möglich sein, die restliche Dauer der jeweilige Wohnpflicht nachzuhalten.",,,,2,3,0,0,,3,,
G-AU-SM,A-AU-SM-19,Teilweise,X,X,"A-AU-SM-19: Beim Einzug in die AfA unterliegen alle Bewohner:innen eine Wohnpflicht von derselben Dauer. Diese „Standard-Dauer"" muss im Asylverwaltungsprogramm durch Nutzer:innen mit entsprechenden Rechten konfiguriert werden können.",,,,3,5,0,0,,4,,
G-AU-SM,A-AU-SM-20,,X,X,A-AU-SM-20: Die Dauer der Wohnpflicht muss um die Zeiten von (längerer) Abgängigkeit und Haft verlängert werden können.,,,,2,3,0,0,,3,,
G-AU-SM,A-AU-SM-15,,X,X,"A-AU-SM-15: Kehrt ein:e Bewohner:in nach längerer Abwesenheit in die AfA zurück, muss das Asylverwaltungsprogramm die Möglichkeit bieten, die betreffende Person als Wiederaufnahme unter Angabe des Datums der Wiederaufnahme zu markieren. Bewohner:innen-Übersichten müssen nach Wiederaufnahme-Fällen gefiltert werden können (vgl. A-SYS-BÜ-05).",teilweise,Untergetauchte Personen die wiederkommen können über die Abgängigkeit markiert werden und es kann danach gefiltert werden ,"Abgängigkeit von - bis festhalten und das ""bis"" Datum als das Datum wann eine Person aus der Abgängigkeit zurrückkehrt. ",3,4,1,2,,5,,
P-AU-VD,A-AU-VD-01,,vereinfachte Version,"X
(Ort muss geändert werden können und eine Bewohnerlog dazu muss gepflegt werden. Kann über den Export der Termine realisiert werden. Optional kann ein Listenepxort ermöglicht werden.)","A-AU-VD-01: Für eine geplante Verlegung muss sich eine Verlegungsliste als Datei (.xlsx, .docx und .pdf) exportieren lassen.",,,,8,10,8,10,,5,,
P-AU-VD,A-AU-VD-02,,vereinfachte Version,,"A-AU-VD-02: Die erstellbaren Verlegungslisten sollen durch den/die Nutzer:in nach ID-Nummern, Unterbringungsort(Afa, Haus- und Zimmernummer) und alphabetisch nach Nachnamen des für die Verlegung eingeplanten Bewohner:innen sortiert werden können.",x,,,0,0,0,0,,,,
P-AU-VD,A-AU-VD-04,,vereinfachte Version,,"A-AU-VD-04: Nach der Durchführung eine Verlegung muss im Asylverwaltungsprogramm bestätigt werden, für welche Bewohner:innen die Verlegung tatsächlich durchgeführt wurde.",x,,,0,0,0,0,,,,
P-AU-VD,A-AU-VD-05,,vereinfachte Version,,"A-AU-VD-05: Wird eine Verlegung durchgeführt, müssen die Personen, welche verlegt wurden, automatisch dem neuen Objekt zugeordnet werden.",x,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-01,,vereinfachte Version,"X
(vereinfachte Version, s. unten *  
Eine Liste mit Bewohnern und Startort und Zielkommune muss erstellt und exportiert werden können. Nach Bestätigung des Transfers wird der Standort des Bewohners geändert.)","A-AU-LP-01: Im Asylverwaltungsprogramm müssen eine oder mehrere Verteilungsplanungen unter Angabe von Ausgangspunkt, Zielort (aufnehmende Kommune), Kapazität, Datum der Verlegung angelegt, bearbeitet und gelöscht werden können. Die angezeigten Informationen müssen dabei frei wählbar sein.",x,,,15,20,15,20,,5,,
P-AU-LP,A-AU-LP-03,,vereinfachte Version,,"A-AU-LP-03: Das Asylverwaltungsprogramm soll automatisch alle Bewohner:innen, die gesetzlich für eine Verteilung vorgesehenen sind (Muss-Verteilfälle), der erstellten Verteilplanung hinzufügen.",,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-04,,vereinfachte Version,,"A-AU-LP-04: Im Asylverwaltungsprogramm sollen sich durch Nutzende mit entsprechenden Rechten die Kriterien anhand der Attribute und Gruppenzugehörigkeiten (vgl. A-AU-SM-01, A-AU-SM-05 und A-AU-RE-15) definieren lassen, die einen Muss-Verteilfall ausmachen.",,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-05,,vereinfachte Version,,"A-AU-LP-05: Wurde bereits früher eine Verteilung für eine:n Bewohner:in durchgeführt (Folgeanträge), soll der zuletzt festgelegte Verteilungsorte automatisch angezeigt werden und sich für die weitere Verteilungsplanung übernehmen lassen.",,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-09,,vereinfachte Version,,A-AU-LP-09: Der Nutzer muss aus einer Gesamtübersicht aller aktuell in der AfA wohnhaften Bewohner:innen zusätzlich manuell weitere Personen der Verteilungsplanung hinzufügen können.,,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-14,,vereinfachte Version,,A-AU-LP-14: Der Verfahrensstand des Asylverfahrens eines Bewohner:in soll während der Verteilplanung jederzeit sichtbar sein.,x,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-15,,vereinfachte Version,,"A-AU-LP-15: Wird für ein:e Bewohner:in eine Sperre durch das Gesundheitsamt im Asylverwaltungsprogramm eingetragen, darf diese Person nicht mehr systemseitig für eine Verlegung oder eine Verteilung eingeplant werden.",x,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-16,,vereinfachte Version,,"A-AU-LP-16: Liegen für eine:n Bewohner:in Hinweise der Krankenstation vor (z.B. zu Erkrankungen, körperlichen oder psychischen Beeinträchtigungen oder zu besonderem Schutzbedarf), sollen diese bei der Verlegungsplanung einsehbar sein.",x,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-17,,vereinfachte Version,,"A-AU-LP-17: Bei der Durchführung einer Verteilung in eine Kommune, soll das Asylverwaltungsprogramm die Verteilung nur von Teilen eines Familienverbundes durch eine Hinweismeldung anzeigen.",teilweise,Wenn eine Person verteilt werden soll gibt es einen Hinweis dass Sie Teil eines Familienverbandes ist ,Bereits vereinfachte Version,0,0,0,0,,,,
P-AU-LP,A-AU-LP-18,,vereinfachte Version,,"A-AU-LP-18: Die Hinweismeldung soll dem/der Nutzer:in die Auswahl bieten, ob der Familienverband als Ganzes, gar nicht oder nur das ausgewählte Familienmitglied verteilt werden soll.",,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-19,,vereinfachte Version,,"A-AU-LP-19: Wird nur ein Teil eines Familienverbandes verteilt, soll das Asylverwaltungsprogramm von dem/der Nutzer:in einem Freitextfeld eine Begründung erfragen.",x,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-06,,vereinfachte Version,,A-AU-LP-06: Das Asylverwaltungsprogramm soll bei der Verteilungsplanung eine Zuordnung der Bewohner:innen auf bestimmte Gemeinden auf Grundlage der Gemeinde-Quoten (A-AU-LP-11) vorschlagen. Dabei sollen Familienverbünde (vgl. A-AU-RE-14) und Bezugspersonen von bereits verteilten UMAs (vgl. A-AU-SM-06) berücksichtigt werden.,,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-07,,vereinfachte Version,,A-AU-LP-07: Die automatische Verteilungsplanung muss sich manuell anpassen bzw. manuell komplett neu anlegen lassen.,,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-08,,vereinfachte Version,,"A-AU-LP-08: Während der manuellen Anpassung der Verteilungsplanung müssen alle Gemeinden angezeigt werden, die für die Verteilung wenigstens einer der für die Verteilung vorgesehenen Bewohner:innen in Frage kommen.",,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-10,,vereinfachte Version,,"A-AU-LP-10: Wird während der manuellen Anpassung der Verteilungsplanung ein:e Bewohner:in ausgewählt, dann soll das Asylverwaltungsprogramm diejenigen Gemeinden, die für die Verteilung der/des ausgewählten Bewohner:in nicht in Frage kommen (vgl. A-AU-LP-13) ausgrauen.",,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-24,,vereinfachte Version,,"A-AU-LP-24: Bei der Verteilungsplanung sollen Bewohner:innen, die als Bezugspersonen für UMAs gelten (vgl. A-AU-SM-06) auf die Kommune verteilt werden, auf die auch der/die UMA verteilt wurde. Daher sollen Bezugspersonen besonders in der Verteilungsplanung besonders hervorgehoben werden.",,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-25,,vereinfachte Version,,"A-AU-LP-25: Durch berechtigte Nutzer:innen müssen die Gemeindequoten, die die Verteilung von Bewohner:innen auf die Kommunen steuern hinterlegt und jederzeit angepasst werden können.",x,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-26,,vereinfachte Version,,"A-AU-LP-26: Bei der Verteilungsplanung sollen die Gemeindequote, bzw. die Über- oder Untererfüllung der Quote durch die verschiedenen Gemeinden angezeigt werden.",,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-12,,vereinfachte Version,,"A-AU-LP-12: Einschränkungen oder komplette Sperrungen bei der Verteilung in eine Kommune sollen eingetragen werden können und sollen bei der Verteilplanung angezeigt werden. Diese Einschränkungen soll insb. in der Begrenzung nur auf Personen aus bestimmten Gruppen (nur aus bestimmten Herkunftsländern, nur Familien, nur allein reisende Personen, etc.) bestehen.",,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-13,,vereinfachte Version,,A-AU-LP-13: Zu jeder Kommune soll ein Verteilungshinweis (Freitext) hinterlegt und jederzeit aktualisiert werden können. Während der Verteilungsplanung sollen die Verteilungshinweise der beteiligten Kommunen angezeigt werden.,,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-20,,vereinfachte Version,,A-AU-LP-20: Eine Verteilungsplanung muss exportiert werden (z.B. Excel-Datei) können.,x,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-21,,vereinfachte Version,,A-AU-LP-21: Nach Abstimmung der Verteilungsplanung muss sich eine Zuweisungsentscheidung und eine Verteilungsverfügung erstellen lassen.,x,,,0,0,0,0,,,,
P-AU-LP,A-AU-LP-22,,vereinfachte Version,,A-AU-LP-22: Bei der Erstellung der Zuweisungsentscheidung sowie bei der Verteilungsverfügung soll die Rechtsgrundlage ausgewählt und durch eine Freitext-Begründung ergänzt werden können.,teilweise,Es gibt eine Vorlage mit Rechtsgrundlagen die ausgewählt werden können + Kommentarfunktion in Form eines Freitextfeldes ,Geht im Bewohnerlog es kann aber nicht danach gefilter werden - Passt so,0,0,0,0,,,"Beim zweiten Punkt im Excelblatt „AU“ Zeile 81 A-AU-LP-22 Spalte L, müsstest du mir bitte aushelfen Boris. Wenn ich die Rechtsgrundlage für eine Verteilung oder für die Zuweisung als Bewohnerlog zur Person aufnehme, 
kann ich diesen Log dann bei der Erstellung der Zuweisungsentscheidung oder Verteilungsverfügung anhängen? Ich bitte die Konkretisierung in der Spalte L durch dich oder dem Herrn Saalfrank aufzuschreiben. 
Natürlich gehört auch rein, dass nach diesen spezifischen Bewohnerlogs, nicht gefiltert werden kann.","die Erstellung einer Zuweisungsentscheidung oder Verteilungsverfügung geht aus dem Dokumentenmanagementsystem heraus, wenn eine entsprechende Vorlage dort enthalten ist. Dort kann zwar nicht der Inhalt eines Freitextfeldes automatisch hinzugefügt werden, der Nutzer hat aber die Möglichkeit das Dokument vor dem Drucken über die PDF-Funktionalitäten weiterführend auszufüllen, wenn das Formular ein Feld bereit stellt. Das ließe sich also mit Copy Paste eintragen. Das ausgefüllte Dokument kann dann wiederum in einem Folgeeintrag des Freitextlog-Eintrages hochgeladen und angehängt werden. Das nicht danach gefiltert werden kann ist bereits in Spalte L vermerkt. "
P-AU-LP,A-AU-LP-23,,vereinfachte Version,,A-AU-LP-23: Für eine Verteilungsverfügung soll durch das Asylverwaltungsprogramm einer zehnstellige Verteilnummer generiert und auf der Verteilungsverfügung angegeben werden. Die Verteilnummer setzt sich dabei wie folgt zusammen:,x,,,0,0,0,0,,,,
P-AU-LD,A-AU-LD-01,,vereinfachte Version,,"A-AU-LD-01: Die aus der Verteilungsplanung entstandenen Listen sollen sich so anzeigen lassen, dass sie die betroffenen Bewohner:innen in der Reihenfolge anzeigen, in der sie auf der geplanten Route auf die Kommunen verteilt werden.",,,,0,0,0,0,,,,
P-AU-LD,A-AU-LD-02,,vereinfachte Version,,A-AU-LD-02: Im Asylverwaltungsprogramm sollen für jede Kommune eine Reihe von Email-Adressen von Ansprechpartnern in Sachen Verteilung hinterlegt werden können.,,,,0,0,0,0,,,,
P-AU-LD,A-AU-LD-03,,vereinfachte Version,,A-AU-LD-03: Das Asylverwaltungsprogramm soll Verteil-Benachrichtigungen an die Kommunen automatisch erstellen und verschickt diese zusammen mit der Verteilverfügung (vgl. A-AU-LP-22) unter Berücksichtigung der gesetzlichen Vorankündigungsfrist von 14 Tagen an für jede der Kommunen im Asylverwaltungsprogramm hinterlegte E-Mail-Adressen der Kommunen.,x,,,0,0,0,0,,,,
P-AU-LD,A-AU-LD-04,,vereinfachte Version,,"A-AU-LD-04: Die Ergebnisse aus dem Screening (vgl. P-KS-SC, bspw. benötigt psychologische/psychiatrische Versorgung, NippA, psychotherapeutsiche Sprechstunde, Anbindung an sonstige Beratungsstellen, schwere körperliche Erkrankung, spezielle Unterbringung) sollen der Kommune (unter Beachtung von Datenschutz/Datensicherheit) mitgeteilt werden.",,,,0,0,0,0,,,,
P-AU-LD,A-AU-LD-06,,vereinfachte Version,,"A-AU-LD-06: Wird die Durchführung der Verteilung durch den Nutzer bestätigt, muss die Software die Bewohner:in als nicht mehr in einer AfA wohnhaft markieren, wodurch der Datensatz archiviert wird.",x,,,0,0,0,0,,,,
P-AU-UD,A-AU-UD-01,,vereinfachte Version,"X
(vereinfachte Version, s. unten **)","A-AU-UD-01: Wird eine Person von einer Kommune in eine andere Kommune umverteilt, muss das Asylverwaltungsprogramm die Erfassung dieser Umverteilung, einschließlich Ausgangs- und Zielkommune, Datum an dem die Umverteilung durchgeführt wird ermöglichen. Weiterhin müssen der Antrag sowie weitere Schriftstücke zu der Umverteilung gescannt und abgelegt werden können.",teilweise,,Statt AfA kann auch Kommune als Ausgangspunkt ausgewählt werden ,15,20,15,20,,4,,
P-AU-UD,A-AU-UD-02,,vereinfachte Version,,"A-AU-UD-02: Wird eine länderübergreifende Umverteilung durchgeführt und ist eine oder mehrere der betroffenen Personen noch nicht im Asylverwaltungsprogramm erfasst, so müssen sich dies durch manuelle Erfassung der Stammdaten und/oder Übernahme aus dem AZR nachholen lassen (analog zu analog zu A-AU-VR-01 und A-AU-RE-03)",x,,,0,0,0,0,,,,
P-AU-EF,P-AU-EF-01,X,,X,"A-AU-VR-01: Kommt ein:e Asylbewerber:in als Neuaufnahme in eine AfA, so muss das Asylverwaltungsprogramm die Datenerfassung zu Asylbegehrenden im Rahmen einer Vorregistrierung ermöglichen. Die erfassten Daten umfassen Name, Vorname, Titel/Namenszusätze, Geburtsdatum, Familienstand, Familien-Verbünde, Fluchtgemeinschaften, Staatsangehörigkeit und Sprachkenntnisse. Zusätzliche Informationen müssen sich in einem oder mehreren Freitextfeldern eintragen lassen.",x,,,15,20,15,20,,4,,
P-AU-EF,P-AU-EF-02,"X 
(ungetestet)","X 
(Test, Korrektur, Erweiterung)",X,"A-AU-RE-03: Das Asylverwaltungsprogramm muss es ermöglichen zu prüfen, ob im AZR Daten zur/zum Asylbegehrenden vorhanden sind und diese ggf. direkt aus dem AZR in das Asylverwaltungsprogramm zu übernehmen.",x,,,0,0,0,0,,,,
P-BS-KG,A-BS-KG-01,,X,,X,"A-BS-KG-01: Will eine Bewohner:in das Gelände der AfA betreten oder verlassen, so muss das Asylverwaltungsprogramm die Möglichkeit anbieten, dies zu erfassen. Erfasst werden insbesondere ID-Nummer des Bewohners/der Bewohnerin, AfA, Zeit, Kommen/Gehen und Identität des erfassenden Mitarbeitenden der AfA. Darüber hinaus muss die Fotos zu den Bewohner:innen-Einträgen einsehbar sein.",x,,,5,8,5,8,,3,
P-BS-KG,A-BS-KG-03,,X,,X,"A-BS-KG-03: Will eine Bewohner:in das Geländer der AfA betreten oder verlassen, so muss die Erfassung der notwendigen Daten zur/zum Bewohner:in durch Scannen des Bewohner:innen-Ausweises erfolgen können (vgl. A-SYS-BA-03).",x,,,3,5,3,5,,2,
P-BS-KG,A-BS-KG-02,,X,,X,"A-BS-KG-02: Will eine Bewohner:in das Gelände der AfA betreten oder verlassen, muss die Erfassung der notwendigen Daten zur/zum Bewohner:in - alternativ zum Scannen des Bewohner:innen-Ausweises - durch manuelle Auswahl des passenden Bewohner:innen-Eintrags möglich sein.",x,,,3,5,3,5,,3,
P-BS-KG,A-BS-KG-04,,X,,X,"A-BS-KG-04: Im Modul Bewachung und Sicherheit soll eine Bewohner:innen-Übersicht wie in den Anforderungen A-SYS-BÜ im Kapitel 4.1.5 zur Verfügung stehen, die alle Bewohner:innen der jeweiligen AfA enthält und in der folgende Daten zugreifbar sind: AfA Name, Geburtsdatum, Herkunftsland und Geschlecht, aktuelle Anwesenheit in der AfA, mit entsprechenden Sortier-, Such und Filter- und Export-Möglichkeiten",teilweise,,Es gibt die pro Modul Tabelle der Bewohnerübersicht. Wenn enstsprechend definiert kann das hier umgesetzt werden - Passt so muss nicht extra umgesetzt werden ,6,8,0,0,,3,
P-BS-KG,A-BS-KG-05,,X,,X,"A-BS-KG-05: Wenn eine: Bewohner:in an der Pforte erfasst wird, soll das Asylverwaltungsprogramm aus der gespeicherten Anwesenheit eines Bewohners/einer Bewohnerin schließen, ob diese Person gerade geht oder kommt.",x,,,2,3,2,3,,2,
P-BS-KG,A-BS-KG-06,,X,,X,A-BS-KG-06: Die vom Asylverwaltungsprogramm vorgegebene Richtung des Bewohners/der Bewohnerin (betritt/verlässt Einrichtung) muss von der/dem Nutzer:in überschrieben werden können.,x,,,1,2,1,2,,2,
P-BS-KG,A-BS-KG-09,,X,,X,"A-BS-KG-09: Wenn ein:e Bewohner:in an der Pforte erfasst wird, für die mindestens ein Hinweis aus den Kategorien ""Isolation"", ""Gewalt-Vorfälle"" und ""Bitte um Meldung"" vorliegen (A-SYS-FD-14 bis A-SYS-FD-17 im Kapitel 4.1.8), so soll dies vom Asylverwaltungsprogramm angezeigt werden.",teilweise,Es gibt Kategorien welche in der Detaillansicht des Bewohners einsehbar ist. Hinweisfunktion gibt es nicht,"Bewohnerübersicht anzeigen, die der der Rundgangliste entspricht. (Sofern die Infos dort enthalten sind)  ",2,3,1,2,,4,
P-BS-KG,A-BS-KG-10,,X,,X,"A-BS-KG-10: Wenn ein:e Bewohner:in an der Pforte erfasst wird der/die einen definierte Altersgrenze unterschreitet, soll das Asylverwaltungsprogramm darauf hinweisen, dass der/die Bewohner:in die AfA nicht alleine verlassen darf.",x,,,1,2,1,2,,2,
P-BS-BE,A-BS-BE-02,X,,,X,"A-BS-BE-02: Will eine Besucher:in eine:n (oder mehrere) bestimmte Bewohner:in besuchen, muss das Asylverwaltungsprogramm dem Wachdienst die Möglichkeit bieten, die Besucher:in mit Name, Vorname, Geburtsdatum, Wohnanschrift, Zutrittszeit, Nummer des Besucher:innen-Ausweises und Identität der zu besuchender Bewohnerin/ des zu besuchenden Bewohner zu erfassen. Handelt es sich bei dem/der Besucher:in um eine:n Bewohner:in einer anderen AfA muss statt der manuellen Erfassung der Besucher:innen Daten der Bewohner:innen-Ausweis der/des besuchenden Bewohner:in gescannt können.",teilweise,,,0,0,0,0,,,
P-BS-BE,A-BS-BE-09,X,,,X,"A-BS-BE-09: Alternativ zum Scannen des Bewohner:innen-Ausweises einer besuchenden Bewohnerin/eines besuchenden Bewohners, muss der entsprechende Bewohner:innen-Eintrag im Asylverwaltungsprogramm auch manuell herausgesucht werden und der/die Bewohner:in als Besucher:in erfasst werden können.",nein,,,0,0,0,0,,,
P-BS-BE,A-BS-BE-03,X,,,X,"A-BS-BE-03: Will ein:e Besucher:in eine:n bestimmte Bewohner:in besuchen, so soll das Asylverwaltungsprogramm nach Eingabe der/des zu besuchenden Bewohner:in, Besucher:innen für diese Bewohner:in aus der Vergangenheit als Vorschläge anbieten.",nein,,,0,0,0,0,,,
P-BS-BE,A-BS-BE-04,X,,,X,"A-BS-BE-04: Es muss eine Liste aller in der AfA befindlichen Besucher:innen, einschließlich Name, Besucher:innen-Ausweisnummer, besuchter Bewohner:in, Zimmer der besuchten Bewohner:in und Zeit des Zutritts zur AfA eingesehen, exportiert oder ausgedruckt werden.",nein,,,0,0,0,0,,,
P-BS-BE,A-BS-BE-05,X,,,X,"A-BS-BE-05: Wenn eine Besucher:in erfasst wird und für eine Person mit ähnlichen oder gleichen Daten ein Hausverbot erlassen wurde, dann muss das Asylverwaltungsprogramm darauf hinweisen.",nein,,,0,0,0,0,,,
P-BS-BE,A-BS-BE-06,X,,,X,"A-BS-BE-06: Es soll möglich sein, einen Versuch gegen ein bestehendes Hausverbot zu verstoßen im Asylverwaltungsprogramm zu erfassen, mit der Identität der/des Besucher:in, Zeitpunkt der Erfassung, Identität der/des Erfassenden und zu betretender AfA.",nein,,,0,0,0,0,,,
P-BS-BE,A-BS-BE-08,X,,,X,"A-BS-BE-08: Aus der Liste der aktuell in der AfA anwesender Besucher:innen (vgl. A-BS-BE-004 im Kapitel 4.3.2) müssen Besucher:innen ausgewählt und ausgetragen werden können. Dabei muss der Zeitpunkt erfasst werden, zu dem der/die Besucher:in die AfA verlässt sowie der/die Erfassende.",x,,,0,0,0,0,,,
P-BS-BZ,A-BS-BZ-01,X,,,X,"A-BS-BZ-01: Das Asylverwaltungsprogramm soll Nutzer:innen mit entsprechenden Rechten die Möglichkeit bieten, eine Uhrzeit als Ende der Besuchszeit zu konfigurieren.",nein,,,0,0,0,0,,,
P-BS-BZ,A-BS-BZ-02,X,,,X,"A-BS-BZ-02: Endet die vorgesehene Besuchszeit, so soll das Asylverwaltungsprogramm den Wachdienst auf evtl. noch auf dem Gelände befindliche Besucher:innen hinweisen.",nein,,,0,0,0,0,,,
G-KS-AL,A-KS-AL-01,Teilweise,X,X,"A-KS-AL-01: Zu jedem Bewohner/jeder Bewohnerin muss es eine Patientenakte Teil der Bewohnerakte geben, in dem medizinische Informationen zu der/dem Bewohner:in gesammelt werden. Diese beinhaltet insbesondere alle von einem/einer Nutzer:in in der Rolle „Krankenstation"" gemachten Freitext-Einträge (vgl. A-SYS-FD-01), sowie alle in diesem Kapitel/für dieses Modul beschriebenen, zusätzlichen Informationen zu Bewohner:innen.",X,,,1,2,1,2,,1,,
G-KS-AL,A-KS-AL-02,X,,X,"A-KS-AL-02: Das Asylverwaltungsprogramm soll die Möglichkeit bieten, mehrere Patientenakten gleichzeitig zu öffnen und zu bearbeiten.",TEILWEISE,,schon da ,0,0,0,0,,,,
G-KS-AL,A-KS-AL-05,,X (nicht KS),X,"A-KS-AL-05: Bei Bedarf muss das Asylverwaltungsprogramm die Möglichkeit bieten, auf eine Liste von Neuaufnahmen in die AfA der jüngsten Zeit mit Datum der Neuaufnahme zuzugreifen.",X,,,1,2,1,2,,1,,
G-KS-SM,A-KS-SM-01,Teilweise,X,X,"A-KS-SM-01: Es muss eine Patientenübersicht (Krankenblatt) geben, die einen schnellen Überblick über die gesundheitlichen Probleme eines Patienten/einer Patientin ermöglicht und insbesondere die folgen Informationen enthält: Diagnosen/Befunde und Vorerkrankungen, Diagnostik, Medikamente, Allergien, Schwangerschaften (m. Entbindungstermin), wichtige Operationen und Isolationspflicht. Dies kann als modul-spezifische Übersicht zu einem/einer Bewohner:in umgesetzt werden (vgl. A-SYS-BD-03).",X,,,3,4,3,4,,2,,
G-KS-SM,A-KS-SM-03,,X,X,A-KS-SM-03: Die gesamte Patientenakte muss sich in eine .pdf-Datei konvertieren und bei Bedarf ausdrucken lassen.,X,,,3,5,3,5,,3,,
G-KS-SM,A-KS-SM-04,X,,X,"A-KS-SM-04: In der Patientenakte der Bewohner:in muss sich, statistisch auswertbar, erfassen lassen, welche Impfungen (insbesondere eine Masernimpfung) vorhanden sind.",TEILWEIE,,,0,0,0,0,,,,
G-KS-SM,A-KS-SM-05,X,,X,"A-KS-SM-05: Für jede:n Bewohner:in muss sich, statistisch auswertbar, in der Patientenakte erfassen lassen, welche Impfung zusätzlich zu den bereits vorhandenen Impfungen notwendig sind.",TEILWEISE,,,0,0,0,0,,,,
G-KS-SM,A-KS-SM-06,X,,X,"A-KS-SM-06: In der Patientenakte der Bewohner:in muss sich erfassen lassen, wenn neue Impfungen durchgeführt wurden.",X,,,0,0,0,0,,,,
G-KS-SM,A-KS-SM-07,,X,X,A-KS-SM-07: Erhält ein:e Patient:in Medikamente (gleichgültig ob verschreibungspflichtig oder nicht) muss dies im Asylverwaltungprogramm erfasst werden können.,X,,,3,4,3,4,,3,,
G-KS-SM,A-KS-SM-08,,X,X,"A-KS-SM-08: Erhält ein:e Patient:in Medikamente, so soll es im Asylverwaltungsprogramm möglich sein, über die Ausgabe(n) des Medikament bzw. die Einnahme vor Ort buchzuführen.",X,,,2,3,2,3,,3,,
G-KS-SM,A-KS-SM-09,,X,X,"A-KS-SM-09: Die Medikamente, die ein:e Bewohner:in erhält sollen sich auflisten und nach Medikamenten-Name, Verschreibungsdatum (falls verschreibungspflichtig), Verschreibungspflicht sowie letzter Ausgabe/Einnahme sortieren und filtern lassen.",TEILWEISE,In der Detailsansicht eines Bewohners gibt es einen Tab für die ausgegebenen Medikamente,Erfassung mit Tabelle und Filterung - Umsetzen wie geplant. ,1,2,1,2,,5,,
G-KS-SM,A-KS-SM-12,X,,X,A-KS-SM-12: Die Befunde müssen sich im .pdf-Format als Teil der Patientenakte ablegen und aufrufen lassen. Es muss eine Übersicht der abgelegten Befunde aufrufbar sein.,X,,,0,0,0,0,,,,
G-KS-SM,A-KS-SM-13,X,,X,"A-KS-SM-13: Liegt ein Befund in Papierform vor, soll es möglich sein, diese einzuscannen und der Patientenakte anzufügen.",X,,,0,0,0,0,,,,
G-KS-SM,A-KS-SM-18,,X,X,"A-KS-SM-18: Durch die Krankenstation muss ein Verteilungs-/Verlegungsverbot (vgl. A-AV-VP-07 und A-AV-LP-15) aus gesundheitlichen Gründen, insbesondere wegen abzuklärender Gesundheitsbeschwerden, Abwesenheitsmeldungen bei Krankenhausaufenthalten, Isolation, für eine Patient:in eingetragen werden können. Diese Information wird in den Prozessen P-AV-VP und P-AV-LP angezeigt.",X,,,3,5,3,5,,3,,
P-KS-RE,A-KS-RE-01,,X,X,"A-KS-RE-01: Im Asylverwaltungsprogramm sollen sich zur Erstellung des Rezepts der Name, die ID-Nummer und das Geburtsdatum aus der Stammdatenbank übernehmen lassen (vgl. A-SYS-VD-01 bis A-SYS-VD-06 im Kapitel 4.1.6).",TEIWLEISE,"Das Rezept wird generiert, was als Anhang dem Bewohner angefügt wird. Rezept wird in Asyl4Win generiert",Wie geplant - Umsetzen,4,6,4,6,,3,,
